AppID,Name,Tag,Developers,Publishers,Positive Reviews,Negative Reviews,Median Owners,Average Playtime,Median Playtime,CCU,Price,Initial Price,Discount
1186730,Terro Lunkka Adventures,Indie,Tero Lunkka,Tero Lunkka,15,6,10000,0,0,0,0.99,0.99,0
1104930,Dots Revamped,Indie,Lindsay LaPlante,Starblinky,16,0,10000,0,0,0,0.00,0.00,0
595010,Violet Cycle,Indie,Weckr Industries,Digerati,17,10,10000,0,0,0,9.99,9.99,0
389120, Minute Barbarian,Indie,Wolff Dobson,Studio Puffer LLC,18,5,10000,0,0,0,0.00,0.00,0
664350,German Fortress D,Indie,Nikita GhostRUS,GhostRUS Games,18,34,10000,0,0,0,2.99,2.99,0
349530,TableTop Cricket,Indie,Big Ant Studios,Big Ant Studios,19,10,10000,0,0,0,9.99,9.99,0
1052900,Assault of the Robots,Indie,A Nostru,My Way Games,19,17,10000,0,0,0,1.09,10.99,90
349540,PeriAreion,Indie,Explorasaurus Studios,Explorasaurus Studios,20,37,10000,0,0,0,0.00,0.00,0
340330,Deity Quest,Indie,Fancy Fish Games,Fancy Fish Games,21,9,10000,0,0,0,3.99,3.99,0
951050,Another Hardcore Game,Indie,Ninba,Ninba Games,21,4,10000,0,0,0,1.99,1.99,0
352170,MadOut,Indie,Nuligine MadOut Games,Nuligine MadOut Games,22,35,10000,0,0,0,9.99,9.99,0
1059040,Grunt,Indie,Aligned Games,Aligned Games,22,19,10000,0,0,0,2.99,2.99,0
575880, Invasion Earth,Indie,Jonni The Dodger,Ecomasphere,25,8,10000,0,0,0,4.99,4.99,0
368470,GeoVox,Indie,Axis Game Factory Inc,Axis Game Factory Inc,26,25,10000,2,2,0,24.99,24.99,0
468170,AcidPunk  Echoes of Doll City,Indie,GaelDK Sogaki  FS  Serge Sentis Aerosteak,Infiniverse,26,3,10000,0,0,0,14.99,14.99,0
792500,Streets Ablaze,Indie,Cold Snap Games,Cold Snap Games,28,11,10000,0,0,0,0.00,0.00,0
1140880,Only One Burn,Indie,Leyline Studios,Leyline Studios,29,5,10000,0,0,0,4.99,4.99,0
811130,Forever Space,Indie,Pinhead Games,Pinhead Games,30,4,10000,0,0,0,0.00,0.00,0
1107040,You Dont Have Time,Indie,White Puppet Studio,White Puppet Studio,30,9,10000,0,0,0,4.99,4.99,0
338830,Star Nomad,Indie,Huy Phan,Huy Phan,31,20,10000,0,0,0,0.99,0.99,0
467330,Just a Cleric,Indie,DXF Games,DXF Games,32,8,10000,0,0,0,4.99,4.99,0
398940,Respawn Man,Indie,Evan Solidplasma Peiperl,Solidplasma Studios LLC,34,8,10000,0,0,0,2.99,2.99,0
693670,Molten Armor,Indie,Brutal Muse,Brutal Muse,36,23,10000,0,0,0,9.99,9.99,0
958960,Darwins Test,Indie,Wolfalone Studio,Wolfalone Studio,38,15,10000,0,0,0,0.00,0.00,0
744650,Order Of The Gatekeepers,Indie,TimeSink Inc,TimeSink Inc,38,2,10000,0,0,0,19.99,19.99,0
774411,Temple of Xiala,Indie,Hannes Delbeke,Hannes Delbeke,39,36,10000,0,0,0,1.99,1.99,0
1144150,Singled Out,Indie,Matt Glanville,Matt Glanville,39,1,10000,0,0,0,4.99,4.99,0
324390,The Body Changer,Indie,TheShortAndTheTall,TheShortAndTheTall,41,14,10000,0,0,0,19.99,19.99,0
928680,Chicken in the Darkness,Indie,Jaesung Kim Jongseop Lee Hyunggu Han,BukGwak,41,0,10000,0,0,0,2.49,2.49,0
348180,Starship Traveller,Indie,Tin Man Games,Tin Man Games,45,26,10000,0,0,0,4.99,4.99,0
790020,Lightfield HYPER Edition,Indie,Lost in the Garden,Lost in the Garden,48,12,10000,0,0,0,14.99,14.99,0
834180,CuteSnake ,Indie,Sunrise,Sunrise,52,16,10000,0,0,0,0.99,0.99,0
664450,Manifest ,Indie,Flight School Studio,Flight School Studio,59,8,10000,0,0,0,5.99,5.99,0
613210,BlobCat,Indie,BySamb,BySamb,61,4,10000,0,0,0,9.99,9.99,0
753900,End Space,Indie,Orange Bridge Studios,Orange Bridge Studios,64,31,10000,0,0,0,19.99,19.99,0
900790,Bunny Minesweeper,Indie,DillyFrame,DillyFrame,64,10,10000,0,0,0,2.99,2.99,0
501110,Mount Wingsuit,Indie,Ninja Whale Studios,Ninja Whale Studios,68,30,10000,0,0,1,7.99,7.99,0
740410,Puzzle Chambers,Indie,Entertainment Forge,GrabTheGames,73,17,10000,0,0,0,0.59,2.99,80
